Title,Video ID,Artist,Song
Neil Diamond - Sweet Caroline Lyrics,jzXt7YvK9Hw,Neil Diamond,Sweet Caroline Lyrics
Hozier - Cherry Wine,SdSCCwtNEjA,Hozier,Cherry Wine
Bimbaakash- Najeek [Lyrical Video],AMRGmAh2NTk,Unknown,Bimbaakash- Najeek [Lyrical Video]
Winter Aid - The Wisp Sings,TOsJasWO_Jc,Winter Aid,The Wisp Sings
"benny blanco, Halsey & Khalid – Eastside (official video)",56WBK4ZK_cw,Unknown,"benny blanco, Halsey & Khalid – Eastside (official video)"
Blonde Redhead - For the Damaged Coda,4Js-XbNj6Tk,Blonde Redhead,For the Damaged Coda
Main Jahaan Rahoon (Full Audio Song) - Namastey London - Akshay Kumar - Rahat Fateh Ali Khan,dovWTFlRIWs,Main Jahaan Rahoon (Full Audio Song),Namastey London - Akshay Kumar - Rahat Fateh Ali Khan
Adele - Someone Like You (Official Music Video),hLQl3WQQoQ0,Adele,Someone Like You (Official Music Video)
Harry Styles - Sign of the Times (Official Video),qN4ooNx77u0,Harry Styles,Sign of the Times (Official Video)
Harry Styles - As It Was (Official Video),H5v3kku4y6Q,Harry Styles,As It Was (Official Video)
ZAYN - Tightrope (Lyrics),G0AMNHFvxVw,ZAYN,Tightrope (Lyrics)
Guns N' Roses - Sweet Child O' Mine (Official Music Video),1w7OgIMMRc4,Guns N' Roses,Sweet Child O' Mine (Official Music Video)
Gnarls Barkley - Crazy (Official Video) [4K Remaster],-N4jf6rtyuw,Gnarls Barkley,Crazy (Official Video) [4K Remaster]
Ｗｈａｔ　Ｗｏｕｌｄ　Ｉ　Ｄｏ　Ｉｆ　Ｙｏｕ　Ｗｅｒｅｎ＇ｔ　Ｈｅｒｅ？,52LJ-1FXTSw,Unknown,Ｗｈａｔ　Ｗｏｕｌｄ　Ｉ　Ｄｏ　Ｉｆ　Ｙｏｕ　Ｗｅｒｅｎ＇ｔ　Ｈｅｒｅ？
JVKE - this is what falling in love feels like (Lyrics),YmXZW4MA9DI,JVKE,this is what falling in love feels like (Lyrics)
Pecos & The Rooftops - This Damn Song (Official Video),PXb58im7qDY,Pecos & The Rooftops,This Damn Song (Official Video)
"Andy Grammer ""Fine By Me"" Official Video",f28WViN6k9o,Unknown,"Andy Grammer ""Fine By Me"" Official Video"
COIN - I Don't Wanna Dance (Audio),OWr5FawT2Ks,COIN,I Don't Wanna Dance (Audio)
COIN - Talk Too Much (Video),KWxM_zLJGsU,COIN,Talk Too Much (Video)
COIN - Boyfriend (Audio),wkjSpojVgNg,COIN,Boyfriend (Audio)
Sunsetz - Cigarettes After Sex,5-rbSNzU_b8,Sunsetz,Cigarettes After Sex
Cigarettes After Sex - Heavenly // lyrics,IEhlEd3LIws,Cigarettes After Sex,Heavenly // lyrics
Sweet - Cigarettes After Sex,pZ31pyTZdh0,Sweet,Cigarettes After Sex
Affection - Cigarettes After Sex,5soixb2U6xM,Affection,Cigarettes After Sex
Too - I couldn't love (ft. Shiloh Dynasty),XG19j5bk2Eg,Too,I couldn't love (ft. Shiloh Dynasty)
"Sawaar Loon Full Song (LYRICS) - Monali Thakur | Lootera | Amit Trivedi, Amitabh Bhattacharya",5HpdHKFNr8I,Sawaar Loon Full Song (LYRICS),"Monali Thakur | Lootera | Amit Trivedi, Amitabh Bhattacharya"
Ruth B. - Dandelions (Lyrics),WgTMeICssXY,Ruth B.,Dandelions (Lyrics)
Coda - Fighting Gold Creditless FullHD,p5X8Z-jvsHI,Coda,Fighting Gold Creditless FullHD
Pharrell Williams - Happy (Video),ZbZSe6N_BXs,Pharrell Williams,Happy (Video)
Led Zeppelin  Immigrant Song  Lyrics.,17CsLvJS4cc,Unknown,Led Zeppelin  Immigrant Song  Lyrics.
Cat Stevens - Wild World (Lyrics),69kTbYNZvtY,Cat Stevens,Wild World (Lyrics)
Vance Joy - Georgia [Official Audio],l0XRlNZbQFE,Vance Joy,Georgia [Official Audio]
Jeremy Zucker - scared (Lyrics),iyEUvUcMHgE,Jeremy Zucker,scared (Lyrics)
Jidenna - Classic Man ft. Roman GianArthur,nsiN0W15w0U,Jidenna,Classic Man ft. Roman GianArthur
Eminem - Without Me (Official Music Video),YVkUvmDQ3HY,Eminem,Without Me (Official Music Video)
dArtagnan - Was wollen wir trinken,WiR-5swzlvE,dArtagnan,Was wollen wir trinken
Måneskin (Italy Eurovision 2021) “I Wanna Be Your Slave” & “Zitti E Buoni”  | Wiwi Jam at Home,ssDtj1uL1Go,Unknown,Måneskin (Italy Eurovision 2021) “I Wanna Be Your Slave” & “Zitti E Buoni”  | Wiwi Jam at Home
